current_name,steamid64,oz_id,c_all,c180,c31,c7,first_hit_utc,last_hit_utc
harvey,76561198027730413,606,81,0,0,0,2014-04-06,2020-10-07
nervig,76561198148921697,3851,81,0,0,0,2018-04-15,2022-03-12
ALL HAIL KING BIG NUTZ 2021,76561198037965602,489,80,3,0,0,2014-04-24,2025-06-10
Dr. Worm,76561198080301085,3261,80,1,0,0,2016-04-07,2025-06-19
bosskquish,76561198016958613,284,80,0,0,0,2015-12-09,2022-04-23
qb,76561198412329672,5488,80,25,8,4,2024-10-16,2025-09-11
tommyrelin,76561198089921098,3313,80,0,0,0,2017-02-01,2021-08-02
"Eddie ""Sausage"" Hall",76561198140672015,2502,79,0,0,0,2017-09-09,2022-08-09
austin,76561198815332194,3943,79,0,0,0,2021-02-17,2025-01-22
fresh101,76561198168212712,4289,79,0,0,0,2016-02-21,2023-08-05
newjuls,76561198396018338,1333,79,0,0,0,2018-01-13,2020-09-29
Jack,76561198109933597,224,78,0,0,0,2015-06-04,2017-04-02
jayhyunpae,76561198049461668,2605,78,1,0,0,2013-09-11,2025-06-07
RAZE,76561198194871175,916,77,0,0,0,2017-04-24,2021-12-29
THE BILLDOZER,76561198030154958,766,77,0,0,0,2014-03-18,2020-05-29
Xeno.,76561198065324370,2061,77,0,0,0,2017-05-28,2022-05-08
cellophane flowers,76561198978574478,3451,77,0,0,0,2019-07-22,2023-11-02
lynn2822,76561198110046630,3797,77,1,0,0,2019-04-01,2025-03-24
makemake,76561198128284680,3548,77,0,0,0,2019-02-14,2024-10-22
oldschool,76561198827432184,3560,77,0,0,0,2020-05-22,2024-08-31
AiShou,76561198216357929,935,76,0,0,0,2016-12-26,2020-05-02
fany,76561198075294392,3398,76,18,1,0,2020-09-07,2025-08-24
Steak,76561198167801891,715,75,0,0,0,2016-11-04,2020-08-11
TROLLPOCALYPSE,76561198415391988,3795,75,15,1,0,2020-12-16,2025-09-05
Veni,76561198048064049,169,75,0,0,0,2014-11-07,2017-09-04
supra,76561198011558250,3698,75,0,0,0,2016-07-11,2022-01-23
Kitt,76561198211578967,4357,74,5,2,0,2021-04-16,2025-08-22
Mikke,76561198344047359,4609,74,3,0,0,2020-04-05,2025-08-09
dream,76561198278067465,1503,74,0,0,0,2018-04-09,2022-09-25
undrex,76561198287496233,1297,74,0,0,0,2018-07-12,2023-10-25
Alleg,76561198216204483,1962,73,0,0,0,2018-03-15,2019-04-28
STiNGHAN🍕,76561198023989090,1642,73,4,4,0,2014-07-20,2025-09-06
Sedna,76561198120797504,5240,73,0,0,0,2017-10-07,2024-12-11
Sedoy,76561198390666516,4311,73,0,0,0,2021-10-05,2025-01-29
bb,76561198057390551,685,73,0,0,0,2013-12-21,2017-01-14
donkeyhead,76561198046071483,577,73,0,0,0,2015-08-18,2022-11-13
strikerrr,76561198066813088,1924,73,2,1,0,2017-09-05,2025-09-06
Dr.Awesome,76561198049442802,539,72,0,0,0,2015-01-04,2019-07-27
Migz,76561198238269314,3714,72,1,0,0,2020-09-24,2025-04-27
beissel,76561198123810263,2194,72,0,0,0,2016-01-31,2016-11-08
ron swanson,76561198053562434,641,72,0,0,0,2013-07-18,2019-08-03
Adrian,76561198374836884,2361,71,1,0,0,2019-11-17,2025-07-07
Bloodfeud,76561198223144960,3218,71,1,1,0,2019-03-03,2025-08-20
Selad,76561198277951578,3394,71,0,0,0,2017-07-22,2024-11-16
LARYGOD888,76561198378320706,3510,70,0,0,0,2020-08-04,2025-01-29
LiAm,76561198106774431,275,70,0,0,0,2015-10-25,2020-06-30
Nocturnal,76561198051324146,260,70,0,0,0,2013-06-22,2016-08-18
Table,76561198300937063,2300,70,0,0,0,2018-02-10,2020-07-09
flam,76561198053128310,3123,70,5,0,0,2016-12-26,2025-07-31
max,76561198059596397,100,70,0,0,0,2022-01-15,2023-06-08
psyco,76561198126477668,391,70,2,1,0,2016-10-24,2025-08-24
.:Krispoo:.,76561198285970377,3185,69,0,0,0,2020-01-12,2023-07-05
Time,76561198062128351,4672,69,15,0,0,2015-04-23,2025-08-07
ihor,76561198000988875,1516,69,0,0,0,2013-09-02,2021-09-25
kactuswactus,76561198046091954,2608,69,0,0,0,2014-01-24,2023-01-28
smoogle,76561198307708827,1724,69,0,0,0,2016-07-14,2022-09-07
Broken.,76561198209118916,1593,68,2,0,0,2016-01-11,2025-04-02
Houf,76561198448050535,3173,68,6,1,0,2020-02-22,2025-08-23
Kaki,76561198031041077,123,68,0,0,0,2015-08-06,2021-04-18
homer,76561198842869099,3542,68,1,0,0,2022-01-23,2025-03-25
ruby,76561198799337306,3170,68,0,0,0,2020-10-19,2024-09-22
sun,76561198075492369,977,68,0,0,0,2015-08-09,2019-01-06
HiipFire,76561198012785231,885,67,0,0,0,2016-04-13,2018-08-28
andrew,76561198058908367,2539,67,0,0,0,2020-05-08,2023-05-07
zias,76561198333000396,2286,67,1,0,0,2019-07-21,2025-04-01
BONKITUP456,76561198065656956,1880,66,0,0,0,2015-12-07,2022-11-14
NoNoéWay,76561198095584192,3644,66,3,0,0,2021-07-17,2025-07-02
sonnen,76561198115861913,2447,66,0,0,0,2019-10-06,2024-01-17
bub,76561198248472812,1190,65,0,0,0,2017-12-01,2020-12-08
buddah,76561198001592816,919,65,0,0,0,2014-07-11,2018-01-28
mao,76561198292632824,3683,65,0,0,0,2021-01-28,2024-06-05
mix,76561198124717286,2542,65,0,0,0,2015-04-19,2022-05-21
Frog,76561198091419784,549,64,0,0,0,2016-10-08,2022-09-04
Pilot,76561198208691667,1021,64,0,0,0,2017-06-10,2017-12-25
cos coa,76561198068130633,559,64,0,0,0,2015-04-26,2019-06-13
nn,76561197970574866,2624,64,0,0,0,2020-04-15,2020-09-06
riddle,76561198350595030,3684,64,0,0,0,2019-11-17,2022-08-03
sage,76561198069407628,106,64,0,0,0,2014-07-29,2019-01-20
spook,76561198114726852,1197,64,0,0,0,2017-11-06,2020-05-29
taiko,76561199109149949,3328,64,0,0,0,2021-03-04,2024-05-25
ᴍᴇɴᴛᴀʟ,76561198284927162,1447,64,0,0,0,2017-07-03,2020-11-25
StraightOuttaAmmo,76561198179631523,564,63,0,0,0,2016-05-08,2017-11-12
catkoi,76561198083899535,2226,63,0,0,0,2019-01-29,2021-10-30
darbs,76561197995647096,429,63,0,0,0,2014-08-02,2020-05-15
dave orit,76561198051367425,3245,63,0,0,0,2021-03-22,2023-07-08
Сitrus,76561198066584218,1521,63,0,0,0,2015-03-28,2021-11-02
Bobbicals,76561198106480393,217,62,0,0,0,2014-10-08,2018-02-11
Ethan,76561198091031550,616,62,0,0,0,2015-11-22,2017-04-12
Zinger Stacker Burger Box,76561198026647567,1416,62,1,0,0,2018-06-27,2025-06-04
toilet.timothy.2012,76561198450757756,1494,62,0,0,0,2018-06-22,2020-05-15
Afroman,76561198082602429,43,61,0,0,0,2015-02-13,2020-04-13
Yutori,76561198084237482,1053,61,0,0,0,2014-06-30,2022-06-24
baghdad,76561198821775083,4923,61,3,0,0,2020-05-04,2025-07-19
catwang,76561198100278104,256,61,0,0,0,2015-06-27,2018-03-20
invis,76561198120668070,1604,61,0,0,0,2016-01-15,2023-05-01
lamb,76561198066973180,315,61,0,0,0,2016-05-27,2021-09-12
vytal,76561198335636056,1082,61,0,0,0,2016-12-31,2023-11-13
Calypso,76561198280200375,3488,60,0,0,0,2017-07-28,2024-01-04
EclypH,76561198873593603,3786,60,0,0,0,2021-02-07,2022-05-08
Garthnuk,76561198061487022,2958,60,0,0,0,2019-09-26,2024-03-22
Michael233,76561198067741687,5853,60,0,0,0,2014-10-26,2016-10-16
Moo,76561198253837466,1071,60,0,0,0,2016-12-02,2018-06-19
a team of ants in their prime,76561198061794470,1561,60,2,2,0,2018-12-11,2025-08-24
akim ALT,76561198301657840,5570,60,0,0,0,2020-05-31,2025-01-20
bobb0,76561198060389699,4858,60,2,0,0,2015-03-28,2025-04-14
csibe,76561198167801422,3189,60,0,0,0,2017-01-29,2022-11-30
hazza,76561198076082750,1821,60,0,0,0,2019-02-08,2020-01-30
himari,76561198086901206,473,60,0,0,0,2015-07-19,2019-10-18
wubwub,76561198163226629,1357,60,0,0,0,2016-11-12,2020-08-04
7nes,76561198345126504,3090,59,0,0,0,2019-01-15,2024-02-29
Carnival,76561198258873792,2819,59,0,0,0,2018-05-15,2021-06-18
YAUCH,76561198057372659,188,59,0,0,0,2016-01-10,2022-09-06
EVIL GOON,76561198128711847,1669,58,1,0,0,2016-04-29,2025-05-25
Mercyless,76561198014339233,296,58,0,0,0,2013-03-20,2018-09-17
Potato Man,76561198173967957,2612,58,0,0,0,2019-01-30,2024-05-05
Pudon,76561198082116291,702,58,0,0,0,2017-03-03,2021-03-08
dizzy,76561198102953163,676,58,0,0,0,2014-11-26,2023-06-18
spoyo,76561198895489147,5525,58,24,2,0,2024-05-31,2025-09-06
window,76561198275426498,4461,58,0,0,0,2022-07-31,2024-07-28
Hank,76561199453377641,5620,57,26,0,0,2024-06-19,2025-05-26
Sideshow,76561198014256258,777,57,0,0,0,2013-01-02,2017-04-07
steven,76561198057548584,634,57,0,0,0,2014-11-22,2021-03-15
the guy,76561198046715699,1096,57,0,0,0,2015-07-01,2023-02-06
tokahontas,76561198062936017,537,57,0,0,0,2015-07-12,2021-03-19
vonixyy,76561198141296166,1671,57,0,0,0,2015-05-10,2021-08-10
NeoFusion,76561198049751073,113,56,0,0,0,2015-07-17,2025-03-20
mitchy90,76561198204304864,2778,56,0,0,0,2020-05-16,2025-02-17
sarah,76561198035811678,62,56,0,0,0,2014-07-11,2017-06-12
1O9,76561198212029720,5449,55,5,1,1,2024-11-06,2025-09-13
darklord,76561197960957575,2316,55,2,2,0,2022-12-15,2025-08-29
freaky,76561198061174192,2222,55,0,0,0,2021-11-28,2024-12-14
spade,76561198101558570,1283,55,0,0,0,2015-04-02,2021-03-05
zerk,76561199031909793,2528,55,0,0,0,2021-01-16,2025-03-04
Adam,76561198277818210,3672,54,0,0,0,2021-12-22,2023-07-15
Jackaks,76561199516381193,5750,54,53,7,1,2025-03-17,2025-09-10
Meejaey,76561198141438049,584,54,0,0,0,2015-08-16,2019-05-24
adolo,76561198025210343,294,54,0,0,0,2015-12-21,2025-02-05
bubsdoge,76561198062850904,3377,54,4,0,0,2021-04-29,2025-05-16
kure,76561198112753708,463,54,0,0,0,2016-05-28,2018-11-24
mofu,76561198024960364,3215,54,0,0,0,2020-07-08,2023-04-07
olaf,76561197993499457,79,54,0,0,0,2016-03-07,2020-10-11
Cmdr.Cameron,76561198085939621,1631,53,0,0,0,2018-02-04,2021-04-27
Maggsy,76561198010464484,505,53,0,0,0,2014-06-14,2017-11-07
TUX,76561198154177645,1952,53,3,0,0,2019-03-22,2025-08-10
`Saska,76561198051144781,187,53,0,0,0,2015-07-25,2017-11-07
ayr,76561198026960645,1897,53,7,3,0,2014-06-09,2025-08-31
modus,76561198025099660,585,53,0,0,0,2014-09-22,2020-02-17
ubi,76561198098956650,948,53,1,0,0,2017-02-22,2025-05-12
ukk,76561198178372977,3353,53,7,1,0,2015-08-28,2025-08-29
vueen,76561199064995219,3229,53,0,0,0,2020-09-05,2022-08-10
MrBliss,76561198083901668,827,52,3,0,0,2016-04-06,2025-05-21
Philip,76561198070819203,2014,52,0,0,0,2013-10-20,2018-08-23
Pixe,76561198431576019,3295,52,0,0,0,2019-07-14,2021-07-22
Striker,76561198059315454,3013,52,0,0,0,2016-04-18,2024-07-15
mackey,76561198053356459,110,52,0,0,0,2016-04-15,2018-05-22
♥,76561198366888843,2475,52,3,0,0,2020-10-02,2025-05-13
780,76561198012414439,2682,51,0,0,0,2017-08-06,2022-07-16
ViniGarr (식초),76561199107732929,4156,51,0,0,0,2022-06-15,2024-12-28
denamo,76561198378777747,2869,51,0,0,0,2019-02-17,2021-08-27
weaponfire,76561198042632406,1881,51,0,0,0,2015-12-07,2020-06-09
#Smae,76561198161497327,1620,50,0,0,0,2018-03-14,2023-01-30
Takuto,76561198149461868,1537,50,0,0,0,2017-03-16,2020-06-23
eple,76561198017686306,4258,50,0,0,0,2013-09-30,2023-09-14
garbo,76561198066115494,189,50,0,0,0,2015-07-11,2022-09-27
gilga,76561198000871038,1820,50,0,0,0,2017-06-29,2020-04-02
guy with a pie,76561198111327347,4681,50,0,0,0,2018-11-27,2020-04-23
hoxy.my,76561198135473413,3480,50,11,0,0,2018-01-22,2025-08-02
nukwu,76561198113541041,2315,50,0,0,0,2015-12-12,2020-04-04
pavkin,76561199151458742,4959,50,8,2,0,2024-01-13,2025-09-07
twoism,76561198155425199,3886,50,0,0,0,2022-08-04,2024-12-23
Abyss,76561198068319664,1646,49,0,0,0,2015-01-28,2022-10-14
Jameswars,76561198138558005,4487,49,0,0,0,2015-10-05,2025-01-25
Liko,76561197994660517,1012,49,2,0,0,2013-12-27,2025-05-10
Winter,76561198111611503,3731,49,1,1,0,2020-08-16,2025-08-28
ely,76561198145237469,1036,49,0,0,0,2016-12-21,2021-08-07
faithless,76561198064565908,1194,49,0,0,0,2014-09-16,2019-11-20
gloperz,76561198141817197,2659,49,0,0,0,2017-09-10,2023-12-31
just jazz,76561198010637797,2060,49,0,0,0,2019-04-15,2025-02-08
Beater,76561197990142005,2031,48,0,0,0,2013-01-10,2019-11-04
Carolyn,76561198081210151,1054,48,0,0,0,2015-09-03,2021-12-06
LorE,76561198313888743,4433,48,0,0,0,2020-10-13,2023-06-17
Precious.,76561198054804209,483,48,0,0,0,2015-01-05,2023-10-14
kenji,76561198120942479,132,48,0,0,0,2016-01-21,2020-05-04
mayo,76561198332925604,1931,48,3,0,0,2019-01-28,2025-07-07
tj,76561198131181685,4691,48,14,4,0,2023-10-02,2025-09-04
zef,76561198092371264,789,48,0,0,0,2014-07-04,2019-10-04
#Rogue.,76561198018704374,565,47,0,0,0,2015-03-22,2019-05-01
ChickenBird,76561198104372767,203,47,0,0,0,2014-05-26,2017-09-19
GreenShaDow,76561198332240680,3705,47,1,1,0,2019-07-20,2025-09-08
Security Guard Lord,76561198173684718,1067,47,0,0,0,2016-05-16,2024-08-14
Torque,76561198036037936,151,47,0,0,0,2014-09-12,2019-10-29
andro,76561198281630040,3441,47,0,0,0,2020-08-16,2023-04-05
h4rry,76561198407585432,2146,47,0,0,0,2019-02-10,2021-06-19
michael soup,76561198021736544,2581,47,0,0,0,2017-03-18,2024-07-06
pedil,76561198057404835,2841,47,0,0,0,2020-07-30,2020-12-15
perc30prince,76561198872072250,5716,47,16,3,0,2024-01-31,2025-08-21
trakKori,76561198079512004,927,47,0,0,0,2017-06-04,2019-12-28
vfourna,76561198040636698,28,47,0,0,0,2014-08-24,2019-09-13
yuzu,76561198251074790,3360,47,2,0,0,2020-08-10,2025-07-31
♥ lit.fam ♥,76561198130017335,3464,47,3,0,0,2021-03-04,2025-06-01
Dreams,76561198099718738,354,46,0,0,0,2014-11-08,2017-04-05
Platy,76561198046323590,3543,46,0,0,0,2020-10-27,2024-04-03
Thomas Shelby,76561198156033815,3205,46,0,0,0,2016-10-01,2017-11-29
Titan,76561198122729635,1434,46,6,0,0,2020-10-11,2025-07-13
dayap,76561198267475132,1275,46,6,0,0,2021-01-25,2025-07-12
edith,76561199037257379,3646,46,0,0,0,2020-12-02,2023-10-07
eeur,76561199019601193,2983,46,1,0,0,2020-04-19,2025-06-08
horizon,76561198143134323,1248,46,0,0,0,2017-07-10,2021-03-04
hyperion,76561198084380251,61,46,0,0,0,2015-07-31,2017-10-19
mori,76561198210069337,2329,46,0,0,0,2019-12-24,2021-11-29
para,76561198057150173,893,46,0,0,0,2017-06-03,2022-09-12
philip,76561199052447954,5655,46,46,2,0,2025-04-08,2025-09-03
Hoxly,76561198134164685,2396,45,0,0,0,2016-03-05,2023-12-19
Spe0,76561198105983463,1735,45,0,0,0,2015-10-25,2019-04-05
mi corazon ♥,76561198073843879,3057,45,0,0,0,2016-02-25,2022-05-16
mirimu,76561198107938680,368,45,0,0,0,2017-04-03,2022-01-31
reptile,76561197970244499,134,45,0,0,0,2014-05-05,2017-12-28
spawn,76561198226583636,3457,45,0,0,0,2021-03-27,2023-06-02
EKWNOX,76561198097209458,136,44,0,0,0,2014-07-01,2022-08-13
deft,76561198153468713,78,44,0,0,0,2015-01-13,2019-04-10
jaml,76561199030081320,3054,44,0,0,0,2020-11-16,2024-01-08
lock,76561198018028546,30,44,0,0,0,2015-01-08,2020-03-10
polar.,76561198068520025,1321,44,0,0,0,2015-04-18,2020-10-21
solo,76561198052791876,1477,44,0,0,0,2015-12-19,2020-09-20
8 inches of pure power,76561198042594768,185,43,0,0,0,2015-07-10,2019-03-28
Dxice,76561198953581256,3415,43,6,0,0,2019-12-27,2025-08-16
Haste,76561198173155142,293,43,0,0,0,2016-10-08,2025-01-13
Ian,76561198364342099,1611,43,0,0,0,2018-01-09,2019-12-07
Wellson,76561198350469136,3558,43,0,0,0,2019-12-23,2025-01-19
[♥] Princess Remedy,76561198088024854,2163,43,0,0,0,2017-05-02,2023-09-20
fatpizza,76561198965919122,2477,43,2,0,0,2020-06-27,2025-06-21
jazzdad,76561198358643850,2400,43,0,0,0,2017-08-03,2022-12-31
jerry,76561197991851380,1307,43,0,0,0,2014-04-27,2019-10-14
ory,76561198000568803,1303,43,0,0,0,2015-08-24,2020-08-27
shooter of bad guys,76561198838163169,4962,43,15,5,1,2023-12-19,2025-09-12
zoek,76561198084046839,53,43,0,0,0,2016-02-20,2021-05-26
Beep,76561198120617037,122,42,0,0,0,2015-09-27,2018-01-17
Dip,76561198106869848,481,42,0,0,0,2015-07-15,2021-06-22
Kastaling,76561198067347356,4086,42,0,0,0,2015-08-11,2023-06-02
Minion,76561198220720536,2147,42,0,0,0,2016-05-15,2019-11-10
baby yoda,76561198127071577,2371,42,0,0,0,2017-08-27,2019-12-06
jneb,76561198136669879,223,42,0,0,0,2015-10-03,2020-06-28
pistol ALT,76561199055432072,2849,42,0,0,0,2021-04-12,2022-01-26
somak,76561198053469246,608,42,0,0,0,2015-12-27,2020-06-16
Disturbed,76561197988575255,622,41,0,0,0,2014-07-18,2023-09-30
Divider of Worlds,76561198164445435,877,41,0,0,0,2016-12-31,2023-08-26
Mio,76561198043660647,8,41,0,0,0,2015-03-28,2021-03-16
Ruki-Raki,76561198409956013,1314,41,0,0,0,2018-01-05,2018-06-16
Sam.,76561198011707860,211,41,0,0,0,2015-08-20,2024-12-09
Yui,76561197998684188,292,41,0,0,0,2013-07-13,2019-10-12
amnok,76561198066752804,4104,41,2,1,1,2015-11-14,2025-09-14
clutchh,76561198077902438,2837,41,0,0,0,2020-08-22,2021-07-21
john the asian,76561198053875960,404,41,0,0,0,2015-11-09,2020-12-17
miles,76561198311080565,3562,41,10,0,0,2021-07-03,2025-08-15
mrkr,76561198068101840,1519,41,0,0,0,2015-02-09,2018-06-29
ponyo,76561199085790568,4506,41,0,0,0,2022-10-14,2023-12-25
squonk,76561198129112901,511,41,0,0,0,2017-04-08,2022-07-31
susu,76561198117660949,2089,41,1,0,0,2019-06-15,2025-07-06
twig,76561198027761049,279,41,0,0,0,2015-08-22,2021-10-06
wlg ツ,76561198971840184,2516,41,4,1,0,2021-04-01,2025-08-31
Not Steven,76561198051881261,2507,40,1,0,0,2014-11-15,2025-05-08
POPEL,76561198085724299,1763,40,4,2,0,2018-02-03,2025-08-29
Tannie,76561198146540388,3056,40,0,0,0,2019-12-06,2021-05-26
abuelo kawai,76561198169083341,2456,40,0,0,0,2019-06-04,2020-02-06
berko,76561198012286680,60,40,0,0,0,2016-05-01,2022-10-28
cirlo,76561198041836298,98,40,0,0,0,2013-11-08,2020-09-04
mickey,76561198289341641,3270,40,0,0,0,2017-08-08,2022-07-23
paced,76561198044205251,360,40,0,0,0,2013-02-24,2017-07-06
song,76561198210286877,4967,40,0,0,0,2020-07-10,2025-01-16
spj,76561198003389870,195,40,0,0,0,2015-12-09,2019-04-26
victor,76561198113628945,664,40,0,0,0,2017-03-05,2023-02-02
"Akiki, Village Chief Warlord of Uganda",76561198289767903,645,39,0,0,0,2016-11-19,2020-03-11
Astonnn,76561198044161148,2689,39,0,0,0,2013-11-12,2019-08-10
Bren,76561198021263780,773,39,0,0,0,2014-05-19,2016-05-09
DOLPHIN RIDER,76561198044192979,998,39,0,0,0,2014-02-10,2018-02-28
Joel556,76561198300992965,4014,39,0,0,0,2018-07-06,2024-05-03
Johnny,76561198080794978,213,39,0,0,0,2014-07-16,2019-03-30
R4MEN,76561198854118931,3770,39,0,0,0,2020-02-14,2024-08-03
bobby old,76561199056222421,5011,39,0,0,0,2020-10-02,2024-02-16
durp,76561198061067156,2683,39,0,0,0,2020-04-06,2023-06-14
ether,76561198043569380,744,39,0,0,0,2015-12-16,2017-07-17
pooping),76561199433607526,5204,39,9,0,0,2022-12-19,2025-08-08
yflow,76561198164740191,946,39,0,0,0,2017-08-04,2021-08-02
1989,76561198372064970,1270,38,0,0,0,2017-12-22,2020-07-05
Boston Cheese,76561198117173106,2463,38,0,0,0,2017-09-09,2020-07-11
Krocz,76561198440635301,2807,38,0,0,0,2020-05-31,2024-10-21
Manceloot,76561198190535741,956,38,0,0,0,2017-04-29,2021-08-10
Ninja,76561198155879142,3709,38,0,0,0,2018-01-24,2021-08-10
Phantom,76561198350840658,1319,38,0,0,0,2018-08-04,2020-05-30
RY4N :3,76561198050572054,649,38,0,0,0,2013-03-03,2017-10-20
Roll,76561199110893188,5217,38,0,0,0,2021-07-17,2024-09-13
Sassy,76561198101942178,80,38,0,0,0,2015-12-14,2019-08-16
TOSS,76561198256335510,2230,38,0,0,0,2015-11-22,2020-04-07
Will,76561198312741335,3407,38,0,0,0,2020-11-06,2023-10-26
samburgerr,76561198045707908,2336,38,0,0,0,2014-08-19,2021-06-30
wilsonoid,76561198117984855,598,38,3,0,0,2016-11-19,2025-06-25
BŁäck..,76561198300644952,3630,37,0,0,0,2021-06-22,2025-02-13
Drugs,76561198200513134,1740,37,0,0,0,2017-07-08,2021-12-13
Harris,76561198068374758,1829,37,0,0,0,2017-01-17,2018-11-02
Jdn,76561198293079232,1392,37,0,0,0,2017-01-18,2025-03-10
Laz.,76561198070713563,1650,37,0,0,0,2015-10-09,2023-10-25
Madness`,76561197990516450,138,37,0,0,0,2016-04-15,2019-01-06
Rokt,76561198163401956,4279,37,0,0,0,2022-02-05,2024-09-28
antlers,76561198170083101,2237,37,0,0,0,2016-09-30,2020-03-05
gort,76561198008028548,2248,37,0,0,0,2014-04-17,2022-08-25
makeya,76561198120166752,3359,37,0,0,0,2017-07-17,2020-01-02
pav,76561198130390461,262,37,0,0,0,2015-09-28,2020-11-28
png,76561198370493200,3518,37,0,0,0,2021-03-09,2025-02-09
rasmuss,76561198212216969,3648,37,0,0,0,2018-07-12,2024-06-13
Brixton,76561198396068736,3883,36,0,0,0,2022-11-27,2024-10-29
Draconic,76561198864748007,5664,36,0,0,0,2022-12-10,2025-03-16
Matty,76561198035204545,705,36,19,5,0,2016-04-25,2025-09-09
Michael Bong,76561198051967919,4524,36,0,0,0,2015-07-25,2017-02-21
Sperkle,76561198202592232,618,36,0,0,0,2016-04-23,2024-06-21
Tris,76561198053575622,695,36,0,0,0,2014-07-08,2021-09-19
Twink-182,76561198090088613,1285,36,0,0,0,2018-09-19,2020-12-07
Yoden,76561198080872593,336,36,0,0,0,2016-05-22,2017-04-07
avan_シ,76561198158013527,3612,36,0,0,0,2020-10-25,2023-12-04
cj31,76561198176490254,3333,36,0,0,0,2017-05-14,2024-12-01
drive in snooze,76561198370506193,5038,36,6,0,0,2023-05-31,2025-08-12
tracker ˄˅ lft,76561198046911616,4325,36,3,0,0,2015-08-28,2025-08-08
yokohama,76561198056914247,829,36,0,0,0,2018-10-27,2021-01-09
BigFellaGoose,76561198046512959,1940,35,0,0,0,2016-01-14,2020-08-25
C. Taunts,76561198287607616,5963,35,1,1,0,2019-03-21,2025-09-06
Chomps,76561199029561522,3693,35,0,0,0,2021-06-11,2021-12-27
Santaz,76561198348759417,4121,35,6,0,0,2022-01-28,2025-07-18
Yari Qwerty,76561198154183700,1879,35,0,0,0,2017-02-11,2021-06-22
Zuz,76561198888511860,2712,35,0,0,0,2019-11-05,2020-11-14
alrac,76561198051579846,1867,35,0,0,0,2015-11-09,2021-11-07
dreamwalker,76561198271690459,2355,35,0,0,0,2020-03-08,2022-03-25
raff,76561198137617659,3361,35,0,0,0,2020-08-02,2023-06-11
saglim8,76561198811024417,4216,35,5,0,0,2022-04-01,2025-06-17
z4ndy,76561198106484521,307,35,0,0,0,2016-05-27,2017-01-20
AfroNinja,76561198077521570,410,34,0,0,0,2014-10-19,2017-07-16
JoeHurr,76561198077827173,1399,34,0,0,0,2016-04-26,2018-01-06
LOLoliver,76561199109988283,5244,34,7,3,3,2024-10-21,2025-09-12
Surfy,76561198917613625,3456,34,0,0,0,2020-04-15,2023-07-24
Synon,76561198117440614,737,34,0,0,0,2016-03-13,2019-06-21
Val,76561198191482691,1828,34,0,0,0,2017-12-10,2020-05-10
barna,76561198096305093,1842,34,0,0,0,2017-03-11,2024-10-20
berto,76561198123847058,986,34,0,0,0,2018-04-27,2024-08-20
froz,76561198067863053,2019,34,0,0,0,2013-09-06,2019-09-15
gingacharma,76561198190467898,384,34,0,0,0,2017-03-29,2024-09-29
lizzo,76561198053519351,1883,34,0,0,0,2019-04-20,2022-04-15
quay,76561198063281155,2262,34,1,0,0,2019-03-23,2025-07-28
saint,76561198049911751,4375,34,2,0,0,2014-12-29,2025-05-04
10-59,76561198119613895,3628,33,0,0,0,2021-07-25,2024-08-14
D-Fault,76561198167483876,93,33,0,0,0,2016-09-18,2021-07-25
Lucifear,76561198392742757,5440,33,0,0,0,2018-02-22,2025-03-01
Peeks,76561198851889043,5417,33,0,0,0,2020-08-02,2021-02-14
clynic,76561198016233021,3600,33,2,1,0,2022-08-24,2025-08-23
donkiboi,76561198085204679,3222,33,0,0,0,2014-03-17,2021-01-09
fart juice,76561198124904264,3088,33,0,0,0,2015-03-01,2018-01-06
flaK,76561199078847021,5243,33,2,0,0,2021-10-03,2025-07-23
heria,76561198272870925,2686,33,0,0,0,2018-02-27,2024-06-06
leo.,76561198342338137,5118,33,2,0,0,2020-12-01,2025-07-12
starlight,76561198857084392,4183,33,5,3,0,2020-11-18,2025-09-03
yolo.,76561198146770013,816,33,0,0,0,2017-03-06,2018-06-10
|FV| Jan,76561198008048790,2369,33,0,0,0,2014-03-07,2017-03-01
DuBu,76561198298410748,3053,32,0,0,0,2018-01-02,2021-10-02
Moop,76561198012159865,33,32,0,0,0,2015-07-14,2021-07-19
crumpetjizz1,76561198044147268,452,32,0,0,0,2014-07-24,2018-04-09
david,76561198083285346,245,32,0,0,0,2013-11-20,2016-08-27
jzplr,76561198091901520,4386,32,0,0,0,2018-04-10,2020-05-31
kosina,76561198379718122,3254,32,10,2,0,2018-08-24,2025-09-05
lachlan,76561198046407557,2720,32,0,0,0,2020-06-21,2022-12-08
lee,76561198166666746,3477,32,0,0,0,2017-05-21,2022-08-28
nightjar,76561198879777132,2017,32,0,0,0,2020-04-04,2024-05-03
sphilliz,76561198181662107,1556,32,0,0,0,2018-10-06,2022-04-04
thatsouljaboy,76561198059701576,2501,32,0,0,0,2017-02-04,2020-06-15
Alpha,76561198123750824,723,31,0,0,0,2016-06-13,2018-01-22
Lain,76561198149217307,1958,31,0,0,0,2018-09-14,2024-03-26
PED XING,76561198070486186,4796,31,4,2,0,2019-05-08,2025-08-26
Pixxi0us,76561198132226518,3804,31,0,0,0,2019-08-11,2021-08-11
Vanish,76561198198815974,4154,31,0,0,0,2021-07-22,2024-04-07
hypnosis,76561199112655950,3325,31,0,0,0,2021-05-18,2024-06-07
mune kei,76561198089933986,718,31,0,0,0,2017-01-05,2021-04-21
ollie,76561198062125748,403,31,0,0,0,2014-11-02,2017-06-25
