current_name,steamid64,oz_id,c180,c31,c7
doku,76561199205319751,4924,130,20,2
[GN92] Cha1r,76561198984387837,4458,77,6,0
Batman.,76561199044900678,5692,71,4,0
h1ro,76561198307700283,1381,63,21,4
gotaki,76561198039920735,700,59,4,0
Jackaks,76561199516381193,5750,53,7,1
cookie,76561198156148323,5545,51,0,0
Samael,76561198311723891,4025,46,4,0
philip,76561199052447954,5655,46,2,0
Fruit,76561198247826480,3256,45,7,0
Corde,76561198083876212,3771,41,0,0
hex,76561198157513429,4589,34,0,0
lime,76561198367981056,4240,32,6,0
cv_firee,76561198303081758,5618,31,0,0
dril,76561198827805451,2027,30,8,2
robor,76561198084686835,2611,28,1,0
Hank,76561199453377641,5620,26,0,0
qb,76561198412329672,5488,25,8,4
spoyo,76561198895489147,5525,24,2,0
HERTZILLA,76561198116828800,26,23,7,0
maff,76561199106104716,3942,23,4,0
hezzyyy1,76561198291660586,3091,22,9,0
kaldoz,76561198261198393,4893,22,1,0
lazcore,76561198140731013,2825,21,2,0
chad,76561198075991823,92,20,1,0
Matty,76561198035204545,705,19,5,0
catwif,76561198886335531,4831,18,0,0
fany,76561198075294392,3398,18,1,0
-atten,76561198103105711,406,17,5,0
FreeAlan,76561197994194946,3047,17,0,0
Kou,76561198272648735,3008,17,0,0
APVC,76561199090168813,4288,16,11,4
AUZ,76561198206072125,912,16,10,3
Morbus,76561198258717546,3971,16,8,1
Tauiluigi,76561199196553820,5698,16,0,0
altfs,76561198131264287,954,16,3,0
perc30prince,76561198872072250,5716,16,3,0
trev,76561198096472815,1871,16,9,1
Chili,76561198048808386,233,15,4,0
TROLLPOCALYPSE,76561198415391988,3795,15,1,0
Time,76561198062128351,4672,15,0,0
shooter of bad guys,76561198838163169,4962,15,5,1
ALT,76561198073437085,409,14,0,0
MEMORIES,76561198120920913,554,14,11,1
Trash,76561198110764631,3998,14,2,1
ZOHAN,76561199242554153,4588,14,3,0
airflameon,76561198069614351,16,14,0,0
arnoo,76561199066717018,3673,14,4,0
jel,76561198439712695,4070,14,0,0
spoofy,76561199613425500,5641,14,2,0
tj,76561198131181685,4691,14,3,0
zeised,76561198348523295,3638,14,0,0
Mashy,76561198112429993,5835,13,0,0
boner activated,76561198090680468,1033,13,2,0
Aerol1th,76561199478244135,5296,12,7,0
Elmo.,76561197972273857,129,12,0,0
Lizrd-Wizrd,76561198281156018,2515,12,3,0
Oob,76561198977722492,5332,12,0,0
cheeto,76561198238170280,3419,12,7,0
maz,76561198050517054,1653,12,5,0
nonamed lowdiv2 haennrie,76561198329126870,3340,12,0,0
ruka-,76561198802180851,5680,12,12,0
stickman,76561198438053224,3166,12,4,0
sunflower,76561198416282143,3109,12,8,0
Toki,76561198337887896,5120,11,1,1
[GT] Dapper,76561198325655601,5075,11,1,0
hoxy.my,76561198135473413,3480,11,0,0
lew,76561198382489728,5962,11,0,0
saltyyTV certified caster,76561198124055526,3246,11,0,0
akari,76561198068549523,738,10,4,1
alivesinceforever,76561199061575773,5582,10,0,0
kosina,76561198379718122,3254,10,2,0
miles,76561198311080565,3562,10,0,0
schnapps,76561198146554815,5299,10,1,1
silvo,76561198186769550,333,10,1,1
yesod,76561198212866289,4493,10,0,0
yuna,76561198358100512,2425,10,0,0
zamblargo (retard),76561198295713840,2609,10,0,0
Fishy,76561199091438347,5667,9,0,0
brodie escobar,76561198086751156,150,9,5,2
kira,76561198277979851,5368,9,0,0
pooping),76561199433607526,5204,9,0,0
reeee.vol 2,76561198309177510,4558,9,1,0
smallrat,76561198043150281,5112,9,0,0
whylee,76561198448632147,5960,9,2,0
ALL HAIL KING BIG NUTZ 2021,76561198063258664,231,8,0,0
Maestro,76561199530648122,4927,8,0,0
Wungus,76561198137146721,5658,8,0,0
down,76561198084977572,299,8,1,1
ifun KappaChungusDeluxe,76561198030880491,1541,8,2,0
matttt,76561198080199351,155,8,0,0
pavkin,76561199151458742,4959,8,2,0
x32,76561199218481136,4000,8,1,0
DANTE,76561198046483712,3110,7,1,0
KING BIG NUTZ 2021,76561198039913278,3263,7,2,1
LOLoliver,76561199109988283,5244,7,3,3
ayr,76561198026960645,1897,7,3,0
daga,76561198105323129,2175,7,1,0
darkphantom0420@yahoo.com,76561199219873671,4673,7,1,0
juna,76561198513775985,4559,7,1,1
kori,76561198328824242,3303,7,1,0
shadi,76561198073097952,4907,7,1,1
ukk,76561198178372977,3353,7,1,0
zhern,76561198027033926,4202,7,0,0
Dxice,76561198953581256,3415,6,0,0
Houf,76561198448050535,3173,6,1,0
Santaz,76561198348759417,4121,6,0,0
Titan,76561198122729635,1434,6,0,0
bobeh,76561198033351858,5058,6,0,0
dayap,76561198267475132,1275,6,0,0
drive in snooze,76561198370506193,5038,6,0,0
farn,76561198156007049,1272,6,0,0
gigi,76561198061717026,5340,6,0,0
keritz,76561199004134126,3744,6,1,0
nam,76561198270939510,4468,6,0,0
robouki,76561198168265569,5326,6,1,0
rosss3s,76561198326574438,2367,6,3,0
zek,76561198324300584,5308,6,5,2
ღ Jun.,76561198275846469,5524,6,2,0
1O9,76561198212029720,5449,5,1,1
ALL HAIL KING BIG NUTZ 2021,76561197982503303,352,5,2,1
Davé,76561198053740298,5313,5,0,0
FleepFloopBippleBop,76561198158212195,5505,5,0,0
Kitt,76561198211578967,4357,5,2,0
Tenous,76561198143631024,3629,5,2,1
