current_name,steamid64,oz_id,date_utc,text
ifun KappaChungusDeluxe,76561198030880491,1541,2025-08-26,my faggot soldier
Batman.,76561199044900678,5692,2025-08-29,faggot
psyco,76561198126477668,391,2025-08-24,bitch
ruka-,76561198802180851,5680,2025-08-25,NOOB NIGGA
AUZ,76561198206072125,912,2025-09-13,SHOOTING ME CUNt
Content,76561198944781480,4217,2025-09-02,u a bitch
trev,76561198096472815,1871,2025-09-11,nah lucky bitch
MEMORIES,76561198120920913,554,2025-08-23,BITCH
Aerol1th,76561199478244135,5296,2025-08-23,stfu fag
tj,76561198131181685,4691,2025-08-17,whyd youy hjump you pussy bitch
Trash,76561198110764631,3998,2025-09-11,THIS GAME SUCKS CUNT
camm,76561198323423508,595,2025-08-19,shitters
lime,76561198367981056,4240,2025-08-29,absolute nigger.
starlight,76561198857084392,4183,2025-09-03,are u retarded?
sunflower,76561198416282143,3109,2025-09-01,130 ping is impossible how do retards play on this
Fruit,76561198247826480,3256,2025-08-22,nahh nigga
MEMORIES,76561198120920913,554,2025-09-09,ping retard
h1ro,76561198307700283,1381,2025-09-02,nigga just be doing anything huh
Jackaks,76561199516381193,5750,2025-09-04,bitchas
Aerol1th,76561199478244135,5296,2025-09-03,2 much faith in my retarded pscout
cheeto,76561198238170280,3419,2025-09-04,im 30-7 retard
Fruit,76561198247826480,3256,2025-08-22,kys nigger
cheeto,76561198238170280,3419,2025-08-24,retard
hezzyyy1,76561198291660586,3091,2025-08-20,ure actually a retard
trev,76561198096472815,1871,2025-09-02,BITCH
-atten,76561198103105711,406,2025-08-21,GOOD UBER BITCHES
Stamm,76561198041993019,3747,2025-09-06,u cunt
wysm,76561199005591075,5425,2025-09-14,shitter
Morbus,76561198258717546,3971,2025-09-12,what did u ask me nigga
sunflower,76561198416282143,3109,2025-08-31,BATS = MORON PEEK 
APVC,76561199090168813,4288,2025-09-12,Fatass
ღ Jun.,76561198275846469,5524,2025-09-01,u bitch
daga,76561198105323129,2175,2025-08-19,nice bomb retard
Rayno ♪,76561198165428665,4005,2025-09-06,shitter
trev,76561198096472815,1871,2025-08-25,BITCH
doku,76561199205319751,4924,2025-08-17,fking bitch noob
tez,76561198963311745,5846,2025-09-12,nigger
_YEE,76561198044040744,5238,2025-09-08,nah nigga
brodie escobar,76561198086751156,150,2025-08-19,MY FUCKING ELO CUNT
maz,76561198050517054,1653,2025-08-30,YOU ARE A NIGGER
Aerol1th,76561199478244135,5296,2025-08-28,dont u ? me faggot.
sle_epy,76561198051083025,3257,2025-09-06,ns you bastard
sunflower,76561198416282143,3109,2025-08-26,IM A RETARD
qb,76561198412329672,5488,2025-08-17,niggerman
Chili,76561198048808386,233,2025-08-30,LEAVE ME ALONE CUNTS
brodie escobar,76561198086751156,150,2025-09-14,capy : retard
Tenous,76561198143631024,3629,2025-09-12,ugly bitch cunt pizza durr burger
cheeto,76561198238170280,3419,2025-08-24,rage quit italian fag
ruka-,76561198802180851,5680,2025-09-04,Buena Call Nigga
darklord,76561197960957575,2316,2025-08-29,retard
qb,76561198412329672,5488,2025-09-11,nigger pipe
MEMORIES,76561198120920913,554,2025-08-23,thats retarded
Aerol1th,76561199478244135,5296,2025-09-03,this retard
Aion,76561198101289379,3839,2025-08-18,sandbagging nigger
Jackaks,76561199516381193,5750,2025-09-09,nigga i fucked my jump
rosss3s,76561198326574438,2367,2025-08-20,fk bitch
starlight,76561198857084392,4183,2025-09-03,are u retarded?
h1ro,76561198307700283,1381,2025-08-20,throat fucking niggas left n right
Matty,76561198035204545,705,2025-09-03,U BITCH
