current_name,steamid64,oz_id,date_utc,text
Fruit,76561198247826480,3256,2025-08-22,nahh nigga
Square Bread,76561198155015614,4425,2025-08-10,gotaki :  raped bitch
Morbus,76561198258717546,3971,2025-03-24,sorry for retards
Batman.,76561199044900678,5692,2025-04-18,'I fucking hate this nigger' - toki
Wispree,76561199809922634,5741,2025-05-31,this cunt has the fasted feet in the fucking west
doku,76561199205319751,4924,2025-04-05,are you all retarded
xs lft hl or 6s,76561198397879421,2749,2025-04-29,u are a lucky bastard
cheeto,76561198238170280,3419,2025-07-15,every time i go for a play theres some retard coming from tim buck two
MEMORIES,76561198120920913,554,2025-09-09,ping retard
h1ro,76561198307700283,1381,2025-09-02,nigga just be doing anything huh
Batman.,76561199044900678,5692,2025-04-06,mugen: killing niggers
Jackaks,76561199516381193,5750,2025-09-04,bitchas
Trash,76561198110764631,3998,2025-08-01,is my team retarded
janga7,76561198125511936,326,2025-06-08,cunt ive 10 deaths already what is this
Fruit,76561198247826480,3256,2025-08-11,I got yo ahh nigga
yuna,76561198358100512,2425,2025-07-30,Gh0sty™ :  are you fucking retard?
catwif,76561198886335531,4831,2025-06-27,i was scratching an itch nigger
cv_firee,76561198303081758,5618,2025-04-27,bitch
Migz,76561198238269314,3714,2025-04-27,YOU RETARD
benguin,76561198144209930,4974,2025-06-17,retard
hex,76561198157513429,4589,2025-05-18,nigga slain 
philip,76561199052447954,5655,2025-04-08,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
Jackaks,76561199516381193,5750,2025-05-11,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
Aerol1th,76561199478244135,5296,2025-09-03,2 much faith in my retarded pscout
Tinkleman,76561198311441628,5858,2025-07-14,stfu nigger
ALL HAIL KING BIG NUTZ 2021,76561197982503303,352,2025-08-05,wtf cunt how healthy
doku,76561199205319751,4924,2025-05-24,FK U NIGGAS
akari,76561198068549523,738,2025-07-25,u dumb cunt
cheeto,76561198238170280,3419,2025-09-04,im 30-7 retard
robor,76561198084686835,2611,2025-08-06,no way zerk got bitched onto med
shooter of bad guys,76561198838163169,4962,2025-04-01,no im a fat bitch
doku,76561199205319751,4924,2025-03-25,im just a divv 4 shitter
Fruit,76561198247826480,3256,2025-07-21,this fucking nigger string
Un4given,76561198147078303,3803,2025-07-15,retard
mvne,76561198976674986,4272,2025-06-18,nigger 
gotaki,76561198039920735,700,2025-05-23,cya bitch
doku,76561199205319751,4924,2025-04-11,NT NIGGAS
verd,76561198120670343,4664,2025-06-14,retard cant push the cart..
[GN92] Cha1r,76561198984387837,4458,2025-05-03,NIGGAAAA
RainnFoxer,76561198973884159,4457,2025-05-10,bastard peak
gotaki,76561198039920735,700,2025-05-17,CYA BITCH
boner activated,76561198090680468,1033,2025-07-17,retard
17,76561198241530712,4583,2025-04-02,Gh0sty™: this is so nigga bro
spoyo,76561198895489147,5525,2025-05-01,RETARD ALERT
flam,76561198053128310,3123,2025-07-31,U FUCKING BITCH
spoyo,76561198895489147,5525,2025-05-02,3 RETARD
exXxposed,76561198048691505,327,2025-03-26,why does this cunt have aimbot against me
Corde,76561198083876212,3771,2025-06-26,dude ban this nigga
gotaki,76561198039920735,700,2025-05-12,CYA BITCH'
Fruit,76561198247826480,3256,2025-05-11,BITCH
miles,76561198311080565,3562,2025-05-31,MODE NIGGA FLANK
philip,76561199052447954,5655,2025-04-11,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
Elmo.,76561197972273857,129,2025-07-01,tht is so retarded
Fruit,76561198247826480,3256,2025-04-28,nigga shooting at the pakistan fighter jet
Fruit,76561198247826480,3256,2025-08-22,kys nigger
alivesinceforever,76561199061575773,5582,2025-03-30,FAGGOT STAB
zhern,76561198027033926,4202,2025-06-15,Me whe n i use big facny word still sound like RETARD WHO DRIBBLES
cheeto,76561198238170280,3419,2025-08-24,retard
menex,76561198071933028,2627,2025-06-28,ur too fat bitch
kori,76561198328824242,3303,2025-04-10,RETARD
cv_firee,76561198303081758,5618,2025-05-25,shut up nigga
gigi,76561198061717026,5340,2025-03-23,fags!!!!!
lew,76561198382489728,5962,2025-05-15,open shitter
doku,76561199205319751,4924,2025-04-07,nt CUNT
Shardev,76561198408154036,4257,2025-06-15,FUCKING RETARDS
[GN92] Cha1r,76561198984387837,4458,2025-08-11,chinky
alivesinceforever,76561199061575773,5582,2025-06-19,FULL OF FAGGOT
Houf,76561198448050535,3173,2025-06-10,Molotov-bitch :  your mom noob at blowjobe
verd,76561198120670343,4664,2025-07-20,^ retard
[GN92] Cha1r,76561198984387837,4458,2025-03-31,of course a mindanao retard
hezzyyy1,76561198291660586,3091,2025-08-20,ure actually a retard
mimi,76561198128449234,4785,2025-04-30,106 cunty mickey mouse st
trev,76561198096472815,1871,2025-09-02,BITCH
kaldoz,76561198261198393,4893,2025-04-03,ur a nigga
melvin,76561198350625761,5544,2025-04-25,ur cut retard
lew,76561198382489728,5962,2025-04-29,niggers raped
shadi,76561198073097952,4907,2025-05-17,fat cunt
kaldoz,76561198261198393,4893,2025-03-22,NIGGA
schnapps,76561198146554815,5299,2025-06-07,my team is retarded
doku,76561199205319751,4924,2025-04-18,WAHT THE NIGGA TEAM
Batman.,76561199044900678,5692,2025-06-28,Gh0sty™ :  are you fucking retard?
qb,76561198412329672,5488,2025-07-17,NIGGER
-atten,76561198103105711,406,2025-08-21,GOOD UBER BITCHES
dril,76561198827805451,2027,2025-08-16,fuck nigga ass airshot
Stamm,76561198041993019,3747,2025-09-06,u cunt
Hank,76561199453377641,5620,2025-03-22,corny nigga
[GN92] Cha1r,76561198984387837,4458,2025-03-29,nigger
lime,76561198367981056,4240,2025-06-22,i just got there nigger
hoyehh,76561198131939903,3682,2025-08-15,cuntsman
-atten,76561198103105711,406,2025-04-15,WHERFE CUNT
menex,76561198071933028,2627,2025-06-17,bitch
kaldoz,76561198261198393,4893,2025-03-28,YALL ARE RETARDED
Batman.,76561199044900678,5692,2025-04-10,mugen: killing niggers
Corde,76561198083876212,3771,2025-05-14,nigga aion how's ireland
x32,76561199218481136,4000,2025-04-17,how sweaty are you cunt
catwif,76561198886335531,4831,2025-04-29,lucky nigger
wysm,76561199005591075,5425,2025-09-14,shitter
spoyo,76561198895489147,5525,2025-03-30,NIGGER}\\
mvne,76561198976674986,4272,2025-05-30,nice counter moron 
Morbus,76561198258717546,3971,2025-09-12,what did u ask me nigga
kira,76561198277979851,5368,2025-04-15,pyro diff bitch
jel,76561198439712695,4070,2025-04-05,norwegian retard
smallrat,76561198043150281,5112,2025-05-17,applepine stop being good cunt
chad,76561198075991823,92,2025-06-18,PUSH CUNT
h1ro,76561198307700283,1381,2025-07-12,BITCH
pooping),76561199433607526,5204,2025-05-29,lagging nigga
pooping),76561199433607526,5204,2025-04-18,hellstarry's bubble thoughts is just retard retard retard
-atten,76561198103105711,406,2025-03-30,FAT CUNT
gotaki,76561198039920735,700,2025-05-23,cya bitch
hex,76561198157513429,4589,2025-04-25,this is so nigga
h1ro,76561198307700283,1381,2025-07-07,lucky bitch
spoofy,76561199613425500,5641,2025-06-04,you bitch
Banana,76561198095278714,1548,2025-06-15,nicew spoon faggot
sunflower,76561198416282143,3109,2025-08-31,BATS = MORON PEEK 
cv_firee,76561198303081758,5618,2025-03-23,*DEAD* Rudy Dukes :  ur so retarded nigga
ALT,76561198073437085,409,2025-06-04,stoip being bitches
APVC,76561199090168813,4288,2025-09-12,Fatass
ღ Jun.,76561198275846469,5524,2025-09-01,u bitch
daga,76561198105323129,2175,2025-08-19,nice bomb retard
perc30prince,76561198872072250,5716,2025-07-27,you bitch
matttt,76561198080199351,155,2025-05-05,cunt
TiRa,76561198090259736,5767,2025-08-08,fatass
Batman.,76561199044900678,5692,2025-04-09,mugen: killing niggers
fany,76561198075294392,3398,2025-07-18,shut the fuck up ur malay retard
lime,76561198367981056,4240,2025-05-06,fucking black nigger
Rayno ♪,76561198165428665,4005,2025-09-06,shitter
ifun KappaChungusDeluxe,76561198030880491,1541,2025-07-22,who is that retard on scout
Mikke,76561198344047359,4609,2025-04-30,mikoto123 :  nigger irl
TUX,76561198154177645,1952,2025-06-01,ap a big boi bitch get one med
doku,76561199205319751,4924,2025-05-16,dumahh nigga
trev,76561198096472815,1871,2025-08-25,BITCH
doku,76561199205319751,4924,2025-08-17,fking bitch noob
spoofy,76561199613425500,5641,2025-07-28,son of a bitch
tez,76561198963311745,5846,2025-09-12,nigger
hoxy.my,76561198135473413,3480,2025-05-03,hex nigga
airflameon,76561198069614351,16,2025-04-09,bitch ass 
AUZ,76561198206072125,912,2025-06-01,skitz cunt
_YEE,76561198044040744,5238,2025-09-08,nah nigga
ALL HAIL KING BIG NUTZ 2021,76561198063258664,231,2025-07-07,CUNT
Oob,76561198977722492,5332,2025-06-10,"Pretty bitches love me (yeah), and ugly hoes hate me"
Samael,76561198311723891,4025,2025-03-26,[7][7][7] Lucky Bitch!
rill,76561198057133119,1630,2025-06-30,SwaySway: If being toxic in ozf wasn't banned i'd make you my bitch
doku,76561199205319751,4924,2025-05-02,(Spectator) ifun toxicity result :  i need the div 4 retardedness in me
pooping),76561199433607526,5204,2025-05-16,is retarded
Appcap,76561198385624950,5333,2025-08-14,RETARD
doku,76561199205319751,4924,2025-07-09,nigga
TROLLPOCALYPSE,76561198415391988,3795,2025-03-25,im retarded 
lazcore,76561198140731013,2825,2025-08-05,where is my retarded scouts
brodie escobar,76561198086751156,150,2025-08-19,MY FUCKING ELO CUNT
h1ro,76561198307700283,1381,2025-08-13,get this nigga
gotaki,76561198039920735,700,2025-08-13,raped bitch
Samael,76561198311723891,4025,2025-07-12,[7][7][7] Lucky Bitch!
Unban Rose,76561198339772595,612,2025-05-26,im so bad cunt
Jackaks,76561199516381193,5750,2025-04-09,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
Hank,76561199453377641,5620,2025-03-22,Stalk me more bitch
qb,76561198412329672,5488,2025-08-08,nigger
FREETIMSIMON,76561198376383989,2387,2025-03-31,bastard
jiby,76561198317772389,5869,2025-05-31,u frag like a fag
maz,76561198050517054,1653,2025-08-30,YOU ARE A NIGGER
cv_firee,76561198303081758,5618,2025-04-20,bitch
Mercicrux,76561199103168245,5208,2025-07-16,you bastard
TROLLPOCALYPSE,76561198415391988,3795,2025-03-25,im retarded 
tj,76561198131181685,4691,2025-06-21,bro you fucking clipped into me cunt
♥,76561198366888843,2475,2025-05-13,u guys are retarded
Ryisuh,76561198885661109,5371,2025-03-24,que haces nigger
doku,76561199205319751,4924,2025-07-30,GUYS CAN WE FIGHT U FAGS
Doge.exe has stopped working,76561198046852497,29,2025-08-10,moron
doku,76561199205319751,4924,2025-05-09,thats retarded
cooki,76561198047591316,86,2025-05-12,YOU ARE SUCH A BOT CUNT
qb,76561198412329672,5488,2025-07-17,nigger
Aerol1th,76561199478244135,5296,2025-08-28,dont u ? me faggot.
doku,76561199205319751,4924,2025-04-08,what the nigga
nonamed lowdiv2 haennrie,76561198329126870,3340,2025-04-18,stfu nigga
evelyn (beanie fan),76561198107733201,4388,2025-05-17,bitch
Samael,76561198311723891,4025,2025-05-15,[7][7][7] Lucky Bitch!
hex,76561198157513429,4589,2025-04-28,nigga slain
sle_epy,76561198051083025,3257,2025-09-06,ns you bastard
quay,76561198063281155,2262,2025-07-28,hoyl fuck cunt
altfs,76561198131264287,954,2025-07-28,nigga shot
cv_firee,76561198303081758,5618,2025-07-21,keep going snipe fag
Hank,76561199453377641,5620,2025-04-26,content: Goodluck bitches
tj,76561198131181685,4691,2025-07-03,WTF CUNT
sunflower,76561198416282143,3109,2025-08-26,IM A RETARD
Fruit,76561198247826480,3256,2025-08-16,MGA NIGGA KAYO!!
lime,76561198367981056,4240,2025-04-10,fucking domestic worker ass nigger
hex,76561198157513429,4589,2025-05-02,chair ure fucking retarded
berdo,76561198152744893,4338,2025-05-05,bastard
fam,76561198110654535,4209,2025-06-13,you a bitch wampy
chad,76561198075991823,92,2025-06-06,ur so lucky cunt
doku,76561199205319751,4924,2025-04-28,mizy fking NIGGA
Tinkleman,76561198311441628,5858,2025-06-26,nigga go spec
qb,76561198412329672,5488,2025-08-17,niggerman
gigi,76561198061717026,5340,2025-07-19,cunt
boyfri3nd,76561198275007120,1421,2025-04-12,ill eat you cunt 
zhern,76561198027033926,4202,2025-06-05,Pussy ass bitch
doku,76561199205319751,4924,2025-05-16,mizy u so nigga
philip,76561199052447954,5655,2025-06-26,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
Corde,76561198083876212,3771,2025-06-01,this nigga
Chili,76561198048808386,233,2025-08-30,LEAVE ME ALONE CUNTS
spoyo,76561198895489147,5525,2025-05-01,RETARD
Davé,76561198053740298,5313,2025-07-23,i only die to retards
brodie escobar,76561198086751156,150,2025-09-14,capy : retard
kira,76561198277979851,5368,2025-05-25,moron
Mashy,76561198112429993,5835,2025-05-13,stopp being retarded
spoofy,76561199613425500,5641,2025-07-23,retard ai
chongy,76561198016239746,642,2025-06-21,my medic might be mentally retarded
ukk,76561198178372977,3353,2025-07-07,what a nigga play
Tenous,76561198143631024,3629,2025-09-12,ugly bitch cunt pizza durr burger
Ryisuh,76561198885661109,5371,2025-06-12,nigger up
cheeto,76561198238170280,3419,2025-08-24,rage quit italian fag
spoyo,76561198895489147,5525,2025-07-17,can u fat niggers not have a pyro
brodie escobar,76561198086751156,150,2025-08-01,ur shit cunt
ruka-,76561198802180851,5680,2025-09-04,Buena Call Nigga
maff,76561199106104716,3942,2025-06-28,virgin retard
darklord,76561197960957575,2316,2025-08-29,retard
philip,76561199052447954,5655,2025-05-13,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
Elmo.,76561197972273857,129,2025-07-08,so retarded
jel,76561198439712695,4070,2025-04-05,retards
Fruit,76561198247826480,3256,2025-04-19,I mgiht be retarde
Mashy,76561198112429993,5835,2025-04-10,stfu nigger
Corde,76561198083876212,3771,2025-07-16,disband this nigga
h1ro,76561198307700283,1381,2025-05-16,bitch
qb,76561198412329672,5488,2025-09-11,nigger pipe
doku,76561199205319751,4924,2025-04-12,YOUR SUCH A BITCH
doku,76561199205319751,4924,2025-04-06,DONT KICK NIGGERS
Batman.,76561199044900678,5692,2025-04-24,mugen: killing niggers
Destiny,76561197981261350,1496,2025-05-31,Bitch u have 71
AUZ,76561198206072125,912,2025-04-07,WHAT THE FUCK CUNT
Matty,76561198035204545,705,2025-04-13,look at the cunt
MEMORIES,76561198120920913,554,2025-08-23,thats retarded
Gosu,76561198412353895,5276,2025-08-12,got damn shitter
Batman.,76561199044900678,5692,2025-06-04,faggot fucker
Oob,76561198977722492,5332,2025-06-05,"Pretty bitches love me (yeah), and ugly hoes hate me"
smallrat,76561198043150281,5112,2025-07-15,DUMB CUNT
Aerol1th,76561199478244135,5296,2025-09-03,this retard
Xi sniper god,76561198216933975,3860,2025-05-29,bitch
Fruit,76561198247826480,3256,2025-03-29,nigga
Sarkreez,76561198931708958,3870,2025-07-22,fatass
doku,76561199205319751,4924,2025-08-16,shitter
gotaki,76561198039920735,700,2025-05-30,YOU ARE SHIT CUNT
ZOHAN,76561199242554153,4588,2025-07-07,GN SHITTER
h1ro,76561198307700283,1381,2025-05-15,my nigga died
fany,76561198075294392,3398,2025-05-24,bitchhh
Corde,76561198083876212,3771,2025-05-30,bitchass
miles,76561198311080565,3562,2025-06-20,ban this retard
verd,76561198120670343,4664,2025-07-20,^ retard
Mashy,76561198112429993,5835,2025-08-09,nigger
maz,76561198050517054,1653,2025-06-09,how does ur spy have tadpole cunt
philip,76561199052447954,5655,2025-04-19,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
doku,76561199205319751,4924,2025-05-19,tdm shall be brought back from its retard pug dark age
saltyyTV certified caster,76561198124055526,3246,2025-03-28,retard
melvin,76561198350625761,5544,2025-06-21,ban spoofy for retardation
Samael,76561198311723891,4025,2025-06-24,[7][7][7] Lucky Bitch!
yesod,76561198212866289,4493,2025-05-18,BITCHASS
xs lft hl or 6s,76561198397879421,2749,2025-04-29,u are a lucky bastard
catwif,76561198886335531,4831,2025-04-28,this guy has autostab nigga
lime,76561198367981056,4240,2025-04-10,rup nigger
doku,76561199205319751,4924,2025-07-22,(Spectator) ifun toxicity result :  i need the div 4 retardedness in me
Navedh_k1ng,76561198175935671,1964,2025-06-13,boom! nigga captured
Veron,76561198096457803,921,2025-04-24,nigga
MEMORIES,76561198120920913,554,2025-08-09,how many cunts
philip,76561199052447954,5655,2025-04-27,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
Aerol1th,76561199478244135,5296,2025-07-10,u bitch
spoyo,76561198895489147,5525,2025-07-17,fuckign cringe fags
cv_firee,76561198303081758,5618,2025-06-08,nigga
night,76561198109506971,3182,2025-08-15,BITCH
maz,76561198050517054,1653,2025-04-03,goodnigbnt u cunt
silvo,76561198186769550,333,2025-05-25,sit up bitch
Aion,76561198101289379,3839,2025-08-18,sandbagging nigger
ukk,76561198178372977,3353,2025-07-07,nigga
Fruit,76561198247826480,3256,2025-03-22,not you retard
Rockz,76561198071882999,1750,2025-04-17,youre blue retard
catwif,76561198886335531,4831,2025-04-18,retard
Jackaks,76561199516381193,5750,2025-05-30,chink
cookie,76561198156148323,5545,2025-04-08,nigga
psyco,76561198126477668,391,2025-04-26,bitch jumping
yuna,76561198358100512,2425,2025-05-22,Gh0sty™ :  are you fucking retard?
leo.,76561198342338137,5118,2025-07-12,stfu nigga
philip,76561199052447954,5655,2025-06-10,prpl : NIGGA
Batman.,76561199044900678,5692,2025-07-08,so retarded
lazcore,76561198140731013,2825,2025-03-25,lucky bitch
Batman.,76561199044900678,5692,2025-07-20,MY DEMO RETARDED
violet,76561199061074522,3493,2025-05-26,What r u cunts???
dax.,76561198321885643,3341,2025-05-25,retarded
Jackaks,76561199516381193,5750,2025-09-09,nigga i fucked my jump
chad,76561198075991823,92,2025-05-19,cunt
rosss3s,76561198326574438,2367,2025-08-20,fk bitch
chad,76561198075991823,92,2025-08-11,gonna spunk on you cunt
Hank,76561199453377641,5620,2025-03-23,shut up bitch
Pipelin12,76561198318260026,3516,2025-05-31,fatass
darkphantom0420@yahoo.com,76561199219873671,4673,2025-04-29,obv nigga
starlight,76561198857084392,4183,2025-09-03,are u retarded?
cv_firee,76561198303081758,5618,2025-05-25,that nigga cawdad sucks
zeised,76561198348523295,3638,2025-04-25,my pocket scout nigga
Tauiluigi,76561199196553820,5698,2025-05-07,this is so nigger
Corde,76561198083876212,3771,2025-04-10,feeding bastard
FleepFloopBippleBop,76561198158212195,5505,2025-06-06,cunt
gotaki,76561198039920735,700,2025-05-11,retarded kid does retarded moves
Batman.,76561199044900678,5692,2025-07-10,Stfu nigger
[GN92] Cha1r,76561198984387837,4458,2025-05-26,nigga
airflameon,76561198069614351,16,2025-04-09,dog cunt
froglvvr,76561199422361258,4817,2025-05-24,oh even shitter cfg
zamblargo (retard),76561198295713840,2609,2025-04-24,IS NORBERT RETARDED????
h1ro,76561198307700283,1381,2025-08-20,throat fucking niggas left n right
Corde,76561198083876212,3771,2025-06-12,NIGGER
Matty,76561198035204545,705,2025-09-03,U BITCH
jel,76561198439712695,4070,2025-04-18,*DEAD* alov :  you guys are fucking disabled and retarded and fucktarded
lillybit_0,76561199112716868,4708,2025-04-14,fatass
gotaki,76561198039920735,700,2025-06-25,CYA BITCH
h1ro,76561198307700283,1381,2025-08-09,BAN THAT NIGGA RN
spoyo,76561198895489147,5525,2025-07-17,SHUT UP NIGGER UR SO LOUD\\
yuna,76561198358100512,2425,2025-06-06,Gh0sty™ :  are you fucking retard?
cookie,76561198156148323,5545,2025-07-15,nigga
juna,76561198513775985,4559,2025-05-29,ong some cunts go no manners
LOLoliver,76561199109988283,5244,2025-09-12,NIGGA IS FUCKING GAY
philip,76561199052447954,5655,2025-05-23,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
kosina,76561198379718122,3254,2025-07-16,niggaaa
Chili,76561198048808386,233,2025-04-19,ur a cunt
Tenous,76561198143631024,3629,2025-04-16,bitch
bugma,76561198105394982,5737,2025-05-01,this is retarded man
cv_firee,76561198303081758,5618,2025-05-26,I can ape all you niggas 
mvne,76561198976674986,4272,2025-05-07,NIGGER
doku,76561199205319751,4924,2025-06-01,(Spectator) ifun toxicity result :  i need the div 4 retardedness in me
NoNoéWay,76561198095584192,3644,2025-06-05,SOME BITCHASS STOLE MY PACK!!
Rockz,76561198071882999,1750,2025-05-17,retard
Samael,76561198311723891,4025,2025-04-06,[7][7][7] Lucky Bitch!
Tinkleman,76561198311441628,5858,2025-08-08,nigger
trev,76561198096472815,1871,2025-04-17,FUCKING SWEATY BITCH
Matty,76561198035204545,705,2025-04-17,lucky bitch 777
silvo,76561198186769550,333,2025-07-05,you a bitch cooki
saglim8,76561198811024417,4216,2025-04-12,ur retarded
philip,76561199052447954,5655,2025-04-15,"*DEAD* Batman. :  I like underaged girls only, get it right faggot!"
gotaki,76561198039920735,700,2025-08-22,CYA BITCH
spoofy,76561199613425500,5641,2025-05-19,im just retarded
trev,76561198096472815,1871,2025-08-31,bitch
Hank,76561199453377641,5620,2025-04-12,gg ez shitters
KING BIG NUTZ 2021,76561198039913278,3263,2025-04-22,cunt
jel,76561198439712695,4070,2025-05-18,MR RETARD
HERTZILLA,76561198116828800,26,2025-05-27,this cunt
sneetlesnackhabinz,76561199201241128,4484,2025-07-10,mr faggot
Toki,76561198337887896,5120,2025-04-05,are you retarded
